t_s,docs,tokens,batch_s,tok_per_s,temp_c,battery_pct,plugged,current_ma
6.6,32,9072,6.592,1376.2,35.9,79,PLUGGED_AC,2966.406
20.3,32,8731,13.256,658.7,35.1,79,PLUGGED_AC,4491.406
32.7,32,9069,11.482,789.8,35.1,79,PLUGGED_AC,2381.25
43.5,32,9642,10.183,946.8,35.1,79,PLUGGED_AC,2791.406
53.1,32,8718,8.951,974.0,34.4,80,PLUGGED_AC,2539.843
63.3,32,8919,9.645,924.7,34.4,80,PLUGGED_AC,2826.562
73.3,32,8518,9.386,907.5,34.4,80,PLUGGED_AC,2841.406
84.0,32,8912,10.022,889.3,34.4,80,PLUGGED_AC,2766.406
98.5,32,9018,13.89,649.3,34.4,80,PLUGGED_AC,2922.656
115.6,32,8842,16.184,546.3,34.4,80,PLUGGED_AC,2925.0
136.0,32,8586,19.436,441.8,33.8,81,PLUGGED_AC,4167.968
154.8,32,8972,17.78,504.6,33.8,81,PLUGGED_AC,4450.781
173.2,32,8918,17.358,513.8,32.9,82,PLUGGED_AC,4403.906
191.9,32,8943,17.673,506.0,32.9,82,PLUGGED_AC,4154.687
209.4,32,8570,16.437,521.4,32.1,83,PLUGGED_AC,3762.5
227.7,32,8855,17.363,510.0,32.1,83,PLUGGED_AC,3571.875
243.3,32,8780,14.505,605.3,32.1,83,PLUGGED_AC,2209.375
251.2,32,8964,7.557,1186.1,32.1,83,PLUGGED_AC,3168.75
269.2,32,9209,17.28,532.9,31.5,84,PLUGGED_AC,3350.781
287.7,32,8811,17.447,505.0,31.5,84,PLUGGED_AC,3100.781
302.9,32,8639,14.345,602.2,31.5,84,PLUGGED_AC,2989.062
320.4,32,8634,16.404,526.3,31.4,85,PLUGGED_AC,2946.093
338.1,32,8625,16.92,509.8,31.4,85,PLUGGED_AC,1360.937
355.0,32,8991,16.199,555.0,31.4,85,PLUGGED_AC,2617.187
373.9,32,8997,17.88,503.2,30.6,86,PLUGGED_AC,2696.875
383.3,32,8342,8.341,1000.1,30.6,86,PLUGGED_AC,1317.968
391.3,32,9042,7.609,1188.3,30.6,86,PLUGGED_AC,2589.843
401.5,32,8771,9.432,930.0,30.6,86,PLUGGED_AC,1935.156
408.6,32,8945,6.684,1338.3,30.6,86,PLUGGED_AC,1543.75
419.7,32,8706,10.76,809.1,30.6,86,PLUGGED_AC,2315.625
427.7,32,9083,7.499,1211.3,30.6,86,PLUGGED_AC,2335.937
437.3,32,8543,9.174,931.2,30.6,86,PLUGGED_AC,2500.0
445.3,32,8406,7.352,1143.4,30.6,86,PLUGGED_AC,2321.093
453.9,32,8324,8.109,1026.6,30.6,86,PLUGGED_AC,2515.625
463.4,32,8974,8.794,1020.5,31.7,87,PLUGGED_AC,1889.843
473.0,32,9133,9.138,999.5,31.7,87,PLUGGED_AC,2485.937
482.8,32,8485,9.046,938.0,31.7,87,PLUGGED_AC,2142.968
491.6,32,9177,8.356,1098.2,31.7,87,PLUGGED_AC,3011.718
502.0,32,8843,9.698,911.9,31.7,87,PLUGGED_AC,2590.625
510.7,32,9373,8.236,1138.0,31.7,87,PLUGGED_AC,2763.281
521.9,32,9163,10.376,883.1,31.7,87,PLUGGED_AC,1781.25
529.7,32,8845,7.379,1198.6,31.7,87,PLUGGED_AC,2781.25
540.7,32,8622,10.3,837.1,31.7,87,PLUGGED_AC,2192.187
548.2,32,8705,7.032,1237.8,31.7,87,PLUGGED_AC,1407.031
559.7,32,8808,10.985,801.9,32.6,88,PLUGGED_AC,2364.062
567.3,32,8666,7.171,1208.4,32.6,88,PLUGGED_AC,2203.125
578.1,32,8806,10.351,850.8,32.6,88,PLUGGED_AC,2786.718
586.8,32,9401,7.95,1182.4,32.6,88,PLUGGED_AC,1370.312
597.4,32,8912,10.095,882.8,32.6,88,PLUGGED_AC,2782.031
605.7,32,8708,7.554,1152.8,32.6,88,PLUGGED_AC,2134.375
